Time,Latitude,Longitute
0,32.13574670582537,-81.2098572389269
5,32.129652225976926,-81.19537696007978
10,32.13569899839272,-81.20986855808921
15,32.129656214364566,-81.19531452563987
20,32.135656720356444,-81.20979868896558
25,32.129661382554026,-81.19525828188918
30,32.135646985515535,-81.20975846260006
35,32.12966643322029,-81.1951929743338
40,32.135790042992326,-81.20729712240387
45,32.12966891472363,-81.19512315487964
50,32.135736462017185,-81.20729020131748
55,32.12967365157435,-81.195062096166
60,32.13571828498132,-81.20730345009352
65,32.129672682972945,-81.1949922846532
70,32.135758424882205,-81.20730235923563
75,32.12967034632123,-81.19491803698989
80,32.13578125344594,-81.20729773608602
85,32.12966361927992,-81.19484513205796
90,32.1358014124433,-81.20729628609106
95,32.12966263098611,-81.19478025445325
100,32.13583820655015,-81.20729405685552
105,32.12966341625675,-81.19471842037801
110,32.135843647972074,-81.20727234025432
115,32.129663085815835,-81.19464536200397
120,32.1358244929484,-81.20726733216816
125,32.12966407105505,-81.19457595177238
130,32.13580252902693,-81.20725696612476
135,32.12966761061854,-81.19450947844417
140,32.13578681684132,-81.20724503885481
145,32.12967117359018,-81.19444723885886
150,32.13576218599551,-81.2072136171893
155,32.12969124864372,-81.19438376330929
160,32.135756350583215,-81.2071921786305
165,32.129693249335425,-81.19431509888668
170,32.13578306042654,-81.20717611719745
175,32.12969190714468,-81.1942459982248
180,32.135738429537255,-81.20720427779099
185,32.129696936072854,-81.19417935483119
190,32.13574927901809,-81.20722783086511
195,32.12969507323437,-81.19410730601399
200,32.13574075090486,-81.20724740872858
205,32.12969282529609,-81.19403757632651
210,32.13581754596508,-81.20725657257627
215,32.12968572790105,-81.19396460498892
220,32.135844215851,-81.20726631185417
225,32.12959380781399,-81.19379561857333
230,32.13588953156806,-81.20727375056933
235,32.12959853921997,-81.19372630166129
240,32.13586993088714,-81.20729958074315
245,32.12961276334656,-81.19366660585672
250,32.13585582464725,-81.20731318457187
255,32.129611436165376,-81.19359258340977
260,32.13591926047177,-81.20732270182178
265,32.129612265147266,-81.19352144993432
270,32.13589453190762,-81.2073154102532
275,32.12961589497087,-81.19345384373757
280,32.13583472492642,-81.20731421486325
285,32.1296163176072,-81.19338106903012
290,32.13578818552575,-81.20732103686443
295,32.12961744643657,-81.1933077769354
300,32.13571846288399,-81.2073144238622
305,32.129586387033235,-81.193227298784
310,32.135757539269726,-81.20730803456453
315,32.129572613826994,-81.19314937297791
320,32.13578118770982,-81.20731427958351
325,32.12956825056623,-81.19306968470553
330,32.13581217793358,-81.2073197299225
335,32.1295873074987,-81.19300473776548
340,32.135846503139284,-81.20728713945051
345,32.129588676082015,-81.19293665716492
350,32.13588534777188,-81.2072445105333
355,32.12959182024661,-81.19287275131512
360,32.13592555418298,-81.20723013851753
365,32.129597537007974,-81.19281319031127
370,32.135903742855014,-81.20723554105282
375,32.12959398171422,-81.1927512667524
380,32.13592238946356,-81.20723957070976
385,32.12959324929018,-81.19269340124632
390,32.13594729522992,-81.20724257583998
395,32.129599116079405,-81.19263259420998
400,32.13602795854564,-81.20720089672369
405,32.12960125829446,-81.19257319835036
410,32.13600995773134,-81.20722862842415
415,32.129593459067834,-81.19250272099737
420,32.135935486999244,-81.20723386194831
425,32.129593215958785,-81.19243742639857
430,32.13596196757625,-81.20730061522437
435,32.129590128057664,-81.19237517468031
440,32.13595916865507,-81.20730658234582
445,32.12958669211899,-81.19231193167614
450,32.13595916865507,-81.20730658234582
455,32.12958431630862,-81.19224407886696
460,32.13595916865507,-81.20730658234582
465,32.12958407905925,-81.19217983568107
470,32.13587556286032,-81.20722857431926
475,32.129588111518984,-81.19211360593164
480,32.13601252124537,-81.20728112548191
485,32.12958956784278,-81.19204459822606
490,32.1359836645447,-81.20727805725808
495,32.1295916780537,-81.19198033661564
500,32.13595227632203,-81.20726190248072
505,32.129590887549504,-81.19191785135457
510,32.13600469504117,-81.2072097917104
515,32.12959271184097,-81.19185284398485
520,32.13604100809288,-81.20716698778327
525,32.129596605557275,-81.19178643217877
530,32.136019774330094,-81.20714672385948
535,32.129594502009176,-81.19172049284838
540,32.13600854354902,-81.20716451076395
545,32.129604780226366,-81.19165554464234
550,32.13596590193097,-81.20715588851705
555,32.129606669658024,-81.191589250584
560,32.13601287510497,-81.20716889487467
565,32.12960566613393,-81.19152299867761
570,32.1360698066534,-81.20718540715313
575,32.12961051571251,-81.19146305029686
580,32.13611246476894,-81.20719634698737
585,32.129610124664424,-81.19139876262676
590,32.136142999619885,-81.20720483754317
595,32.12961113663101,-81.1913328723555
600,32.13616659973366,-81.20721485899455
605,32.12961086267702,-81.19126757957201
610,32.136147752382264,-81.2072160546965
615,32.129610902276916,-81.19120182762855
620,32.13611942789774,-81.20720458989186
625,32.12960916515296,-81.1911378585748
630,32.13610146905801,-81.20720114603787
635,32.129611061398876,-81.19107973677605
640,32.13607655764131,-81.20719307445225
645,32.12961209647906,-81.19101589989361
650,32.13605215497259,-81.20718939430436
655,32.129614453752545,-81.19095053517
660,32.136086601226054,-81.20718448074857
665,32.12961726504325,-81.19088777611256
670,32.136120095943085,-81.20721416466803
675,32.129618083644075,-81.19082093318752
680,32.136120095943085,-81.20721416466803
685,32.12961225424122,-81.19075667755493
690,32.136120095943085,-81.20721416466803
695,32.12961516871942,-81.19069371214611
700,32.136120095943085,-81.20721416466803
705,32.12961017368338,-81.19061964508678
710,32.1359097351834,-81.20731539368444
715,32.12960661100945,-81.19055527639107
720,32.13587643582278,-81.20732278346928
725,32.1296001763271,-81.19048707168666
730,32.13592067508944,-81.20732254192754
735,32.12959974413373,-81.19042300293574
740,32.13594425956582,-81.20733211644581
745,32.12959742411418,-81.19035723230749
750,32.1359240049314,-81.20734093469981
755,32.12959469430248,-81.19029199977936
760,32.13589176026964,-81.2072799791695
765,32.129592640405896,-81.19023063413775
770,32.13584470552843,-81.20725145054024
775,32.12958628164641,-81.19016670723539
780,32.1358072870466,-81.20714660647934
785,32.12958317342932,-81.19009970102405
790,32.1357800929599,-81.20710709701866
795,32.12958265095353,-81.1900328830883
800,32.13572279982729,-81.20702211760518
805,32.12957895067506,-81.18996985808708
810,32.13569896224337,-81.2069333886756
815,32.1295800364812,-81.18990776958513
820,32.135677188048874,-81.20711176198787
825,32.129578911328295,-81.18984925537521
830,32.135670619709536,-81.2072059831393
835,32.129578896353735,-81.18979025527524
840,32.13568168912848,-81.20726208380664
845,32.129579448743065,-81.1897352722684
850,32.135698458165855,-81.20728997187874
855,32.12957551257863,-81.18967862343233
860,32.13573669473335,-81.20728346433245
865,32.1295713539133,-81.18962633311124
870,32.135691036732815,-81.2072835763045
875,32.12957040703005,-81.18957825481309
880,32.13566390991376,-81.20728715867973
885,32.12956857086757,-81.1895331467369
890,32.135622240207645,-81.20731092300555
895,32.129567701685176,-81.18948577716753
900,32.135602924910145,-81.2073391898104
905,32.129567675235364,-81.18944357690391
910,32.1355732929013,-81.20736451429147
915,32.129568648508325,-81.18940437180375
920,32.13554354989364,-81.20737784698248
925,32.12957111870818,-81.18936979041976
930,32.1355237980977,-81.20739452552823
935,32.12957441689561,-81.18933643927363
940,32.135506534701264,-81.2074015703664
